ROW_ID,ICD9_CODE,SHORT_TITLE,LONG_TITLE
252,0041,Shigella flexneri,Shigella flexneri
63,0074,Cryptosporidiosis,Cryptosporidiosis
80,00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile
93,0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified"
415,0931,Syphilitic aortitis,Syphilitic aortitis
437,0949,Neurosyphilis NOS,"Neurosyphilis, unspecified"
448,096,Late syphilis latent,"Late syphilis, latent"
491,04109,Other streptococcus,"Streptococcus infection in conditions classified elsewhere and of unspecified site, other streptococcus"
492,04110,Staphylococcus unspcfied,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, staphylococcus, unspecified"
493,04111,Mth sus Stph aur els/NOS,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
494,04112,MRSA elsewhere/NOS,Methicillin resistant Staphylococcus aureus in conditions classified elsewhere and of unspecified site
495,04119,Other staphylococcus,"Staphylococcus infection in conditions classified elsewhere and of unspecified site, other staphylococcus"
496,0412,Pneumococcus infect NOS,Pneumococcus infection in conditions classified elsewhere and of unspecified site
497,0413,Klebsiella pneumoniae,Friedl?nder's bacillus infection in conditions classified elsewhere and of unspecified site
501,04149,E.coli infection NEC/NOS,Other and unspecified Escherichia coli [E. coli]
503,0416,Proteus infection NOS,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site
504,0417,Pseudomonas infect NOS,Pseudomonas infection in conditions classified elsewhere and of unspecified site
506,04182,Bacteroides fragilis,Bacteroides fragilis
507,04183,Clostridium perfringens,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, Clostridium perfringens"
508,04184,Other anaerobes,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other anaerobes"
509,04185,Oth gram negatv bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other gram-negative organisms"
510,04186,Helicobacter pylori,Helicobacter pylori [H. pylori]
511,04189,Oth specf bacteria,"Other specified bacterial infections in conditions classified elsewhere and of unspecified site, other specified bacteria"
513,042,Human immuno virus dis,Human immunodeficiency virus [HIV] disease
543,0479,Viral meningitis NOS,Unspecified viral meningitis
548,0499,Viral encephalitis NOS,Unspecified non-arthropod-borne viral diseases of central nervous system
559,0521,Varicella pneumonitis,Varicella (hemorrhagic) pneumonitis
570,05319,H zoster nerv syst NEC,Herpes zoster with other nervous system complications
576,05379,H zoster complicated NEC,Herpes zoster with other specified complications
578,0539,Herpes zoster NOS,Herpes zoster without mention of complication
580,05410,Genital herpes NOS,"Genital herpes, unspecified"
585,0542,Herpetic gingivostomat,Herpetic gingivostomatitis
586,0543,Herpetic encephalitis,Herpetic meningoencephalitis
595,05471,Visceral herpes simplex,Visceral herpes simplex
601,0549,Herpes simplex NOS,Herpes simplex without mention of complication
1417,11289,Candidiasis site NEC,Other candidiasis of other specified sites
612,01803,Ac miliary tb-micro dx,"Acute miliary tuberculosis, tubercle bacilli found (in sputum) by microscopy"
633,0360,Meningococcal meningitis,Meningococcal meningitis
635,0362,Meningococcemia,Meningococcemia
638,03641,Meningococc pericarditis,Meningococcal pericarditis
646,0380,Streptococcal septicemia,Streptococcal septicemia
647,03810,Staphylcocc septicem NOS,"Staphylococcal septicemia, unspecified"
648,03811,Meth susc Staph aur sept,Methicillin susceptible Staphylococcus aureus septicemia
649,03812,MRSA septicemia,Methicillin resistant Staphylococcus aureus septicemia
650,03819,Staphylcocc septicem NEC,Other staphylococcal septicemia
651,0382,Pneumococcal septicemia,Pneumococcal septicemia [Streptococcus pneumoniae septicemia]
652,0383,Anaerobic septicemia,Septicemia due to anaerobes
653,03840,Gram-neg septicemia NOS,"Septicemia due to gram-negative organism, unspecified"
655,03842,E coli septicemia,Septicemia due to escherichia coli [E. coli]
656,03843,Pseudomonas septicemia,Septicemia due to pseudomonas
657,03844,Serratia septicemia,Septicemia due to serratia
658,03849,Gram-neg septicemia NEC,Other septicemia due to gram-negative organisms
659,0388,Septicemia NEC,Other specified septicemias
660,0389,Septicemia NOS,Unspecified septicemia
668,0400,Gas gangrene,Gas gangrene
675,04082,Toxic shock syndrome,Toxic shock syndrome
677,04100,Streptococcus unspecf,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, unspecified"
678,04101,Streptococcus group a,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A"
679,04102,Streptococcus group b,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B"
681,04104,Enterococcus group d,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]"
720,0272,Pasteurellosis,Pasteurellosis
731,0312,DMAC bacteremia,Disseminated due to other mycobacteria
1263,1725,Malig melanoma trunk,"Malignant melanoma of skin of trunk, except scrotum"
1267,1729,Malig melanoma skin NOS,"Melanoma of skin, site unspecified"
1315,1611,Malig neo supraglottis,Malignant neoplasm of supraglottis
1319,1619,Malignant neo larynx NOS,"Malignant neoplasm of larynx, unspecified"
1321,1622,Malig neo main bronchus,Malignant neoplasm of main bronchus
1322,1623,Mal neo upper lobe lung,"Malignant neoplasm of upper lobe, bronchus or lung"
1323,1624,Mal neo middle lobe lung,"Malignant neoplasm of middle lobe, bronchus or lung"
1324,1625,Mal neo lower lobe lung,"Malignant neoplasm of lower lobe, bronchus or lung"
1325,1628,Mal neo bronch/lung NEC,Malignant neoplasm of other parts of bronchus or lung
1326,1629,Mal neo bronch/lung NOS,"Malignant neoplasm of bronchus and lung, unspecified"
1391,1100,Dermatophyt scalp/beard,Dermatophytosis of scalp and beard
1396,1105,Dermatophytosis of body,Dermatophytosis of the body
1399,1109,Dermatophytosis site NOS,Dermatophytosis of unspecified site
1406,1120,Thrush,Candidiasis of mouth
1407,1121,Candidal vulvovaginitis,Candidiasis of vulva and vagina
1408,1122,Candidias urogenital NEC,Candidiasis of other urogenital sites
1409,1123,Cutaneous candidiasis,Candidiasis of skin and nails
1410,1124,Candidiasis of lung,Candidiasis of lung
1411,1125,Disseminated candidiasis,Disseminated candidiasis
1415,11284,Candidal esophagitis,Candidal esophagitis
1453,1173,Aspergillosis,Aspergillosis
1454,1174,Mycotic mycetomas,Mycotic mycetomas
1459,1179,Mycoses NEC & NOS,Other and unspecified mycoses
866,1300,Toxoplasm meningoenceph,Meningoencephalitis due to toxoplasmosis
895,135,Sarcoidosis,Sarcoidosis
900,1363,Pneumocystosis,Pneumocystosis
905,1370,"Late effect tb, resp/NOS",Late effects of respiratory or unspecified tuberculosis
908,1373,Late eff bone & joint TB,Late effects of tuberculosis of bones and joints
915,1401,Mal neo lower vermilion,"Malignant neoplasm of lower lip, vermilion border"
926,1414,Mal neo ant 2/3 tongue,"Malignant neoplasm of anterior two-thirds of tongue, part unspecified"
979,05889,Human herpesvirs inf NEC,Other human herpesvirus infection
1028,0701,Hepatitis A w/o coma,Viral hepatitis A without mention of hepatic coma
1029,07020,Hpt B acte coma wo dlta,"Viral hepatitis B with hepatic coma, acute or unspecified, without mention of hepatitis delta"
1033,07030,Hpt B acte wo cm wo dlta,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, without mention of hepatitis delta"
1034,07031,Hpt B acte wo cm w dlta,"Viral hepatitis B without mention of hepatic coma, acute or unspecified, with hepatitis delta"
1035,07032,Hpt B chrn wo cm wo dlta,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
1040,07044,Chrnc hpt C w hepat Coma,Chronic hepatitis C with hepatic coma
1042,07051,Hpt C acute wo hpat coma,Acute hepatitis C without mention of hepatic coma
1045,07054,Chrnc hpt C wo hpat coma,Chronic hepatitis C without mention of hepatic coma
1048,07070,Hpt C w/o hepat coma NOS,Unspecified viral hepatitis C without hepatic coma
1049,07071,Hpt C w hepatic coma NOS,Unspecified viral hepatitis C with hepatic coma
1073,075,Infectious mononucleosis,Infectious mononucleosis
1093,0785,Cytomegaloviral disease,Cytomegaloviral disease
1099,07889,Oth spec dis viruses,Other specified diseases due to viruses
1106,07951,Htlv-1 infection oth dis,"Human T-cell lymphotrophic virus, type I [HTLV-I]"
1117,07999,Viral infection NOS,Unspecified viral infection
1193,1503,Mal neo upper 3rd esoph,Malignant neoplasm of upper third of esophagus
1195,1505,Mal neo lower 3rd esoph,Malignant neoplasm of lower third of esophagus
1196,1508,Mal neo esophagus NEC,Malignant neoplasm of other specified part of esophagus
1198,1510,Mal neo stomach cardia,Malignant neoplasm of cardia
1200,1512,Mal neo pyloric antrum,Malignant neoplasm of pyloric antrum
1202,1514,Mal neo stomach body,Malignant neoplasm of body of stomach
1206,1519,Malig neopl stomach NOS,"Malignant neoplasm of stomach, unspecified site"
1216,1533,Mal neo sigmoid colon,Malignant neoplasm of sigmoid colon
1217,1534,Malignant neoplasm cecum,Malignant neoplasm of cecum
1219,1536,Malig neo ascend colon,Malignant neoplasm of ascending colon
1221,1538,Malignant neo colon NEC,Malignant neoplasm of other specified sites of large intestine
1222,1539,Malignant neo colon NOS,"Malignant neoplasm of colon, unspecified site"
1223,1540,Mal neo rectosigmoid jct,Malignant neoplasm of rectosigmoid junction
1224,1541,Malignant neopl rectum,Malignant neoplasm of rectum
1228,1550,"Mal neo liver, primary","Malignant neoplasm of liver, primary"
1229,1551,Mal neo intrahepat ducts,Malignant neoplasm of intrahepatic bile ducts
1230,1552,Malignant neo liver NOS,"Malignant neoplasm of liver, not specified as primary or secondary"
1231,1560,Malig neo gallbladder,Malignant neoplasm of gallbladder
1232,1561,Mal neo extrahepat ducts,Malignant neoplasm of extrahepatic bile ducts
1233,1562,Mal neo ampulla of vater,Malignant neoplasm of ampulla of vater
1236,1570,Mal neo pancreas head,Malignant neoplasm of head of pancreas
1238,1572,Mal neo pancreas tail,Malignant neoplasm of tail of pancreas
1241,1578,Malig neo pancreas NEC,Malignant neoplasm of other specified sites of pancreas
1591,25000,DMII wo cmp nt st uncntr,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
1592,25001,DMI wo cmp nt st uncntrl,"Diabetes mellitus without mention of complication, type I [juvenile type], not stated as uncontrolled"
1593,25002,DMII wo cmp uncntrld,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled"
1594,25003,DMI wo cmp uncntrld,"Diabetes mellitus without mention of complication, type I [juvenile type], uncontrolled"
1595,25010,DMII keto nt st uncntrld,"Diabetes with ketoacidosis, type II or unspecified type, not stated as uncontrolled"
1596,25011,DMI keto nt st uncntrld,"Diabetes with ketoacidosis, type I [juvenile type], not stated as uncontrolled"
1597,25012,DMII ketoacd uncontrold,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
1598,25013,DMI ketoacd uncontrold,"Diabetes with ketoacidosis, type I [juvenile type], uncontrolled"
1599,25020,DMII hprsm nt st uncntrl,"Diabetes with hyperosmolarity, type II or unspecified type, not stated as uncontrolled"
1600,25021,DMI hprsm nt st uncntrld,"Diabetes with hyperosmolarity, type I [juvenile type], not stated as uncontrolled"
1602,2555,Adrenal hypofunction NEC,Other adrenal hypofunction
1616,2572,Testicular hypofunc NEC,Other testicular hypofunction
1624,2589,Polyglandul dysfunc NOS,"Polyglandular dysfunction, unspecified"
1634,2599,Endocrine disorder NOS,Unspecified endocrine disorder
1636,261,Nutritional marasmus,Nutritional marasmus
1637,262,Oth severe malnutrition,Other severe protein-calorie malnutrition
1638,2630,Malnutrition mod degree,Malnutrition of moderate degree
1641,2638,Protein-cal malnutr NEC,Other protein-calorie malnutrition
1642,2639,Protein-cal malnutr NOS,Unspecified protein-calorie malnutrition
1658,2662,B-complex defic NEC,Other B-complex deficiencies
1663,2682,Osteomalacia NOS,"Osteomalacia, unspecified"
1664,2689,Vitamin D deficiency NOS,Unspecified vitamin D deficiency
1665,2690,Deficiency of vitamin k,Deficiency of vitamin K
1674,25022,DMII hprosmlr uncontrold,"Diabetes with hyperosmolarity, type II or unspecified type, uncontrolled"
1676,25030,DMII o cm nt st uncntrld,"Diabetes with other coma, type II or unspecified type, not stated as uncontrolled"
1680,25040,DMII renl nt st uncntrld,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
1689,20190,Hdgk dis unsp xtrndl org,"Hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites"
1697,20198,Hodgkins dis NOS mult,"Hodgkin's disease, unspecified type, lymph nodes of multiple sites"
1707,20210,Mycs fng unsp xtrndl org,"Mycosis fungoides, unspecified site, extranodal and solid organ sites"
1738,2375,Unc beh neo brain/spinal,Neoplasm of uncertain behavior of brain and spinal cord
1740,23770,Neurofibromatosis NOS,"Neurofibromatosis, unspecified"
1741,23771,Neurofibromatosis type I,"Neurofibromatosis, type 1 [von recklinghausen's disease]"
1748,2382,Unc behav neo skin,Neoplasm of uncertain behavior of skin
1750,2384,Polycythemia vera,Polycythemia vera
1753,23871,Essntial thrombocythemia,Essential thrombocythemia
1757,23875,Myelodysplastic synd NOS,"Myelodysplastic syndrome, unspecified"
1763,2390,Digestive neoplasm NOS,Neoplasm of unspecified nature of digestive system
1768,2395,Other gu neoplasm NOS,Neoplasm of unspecified nature of other genitourinary organs
1775,2409,Goiter NOS,"Goiter, unspecified"
1777,2411,Nontox multinodul goiter,Nontoxic multinodular goiter
1779,24200,Tox dif goiter no crisis,Toxic diffuse goiter without mention of thyrotoxic crisis or storm
1791,24290,Thyrotox NOS no crisis,"Thyrotoxicosis without mention of goiter or other cause, and without mention of thyrotoxic crisis or storm"
1794,2440,Postsurgical hypothyroid,Postsurgical hypothyroidism
1795,2441,Postablat hypothyr NEC,Other postablative hypothyroidism
1796,2442,Iodine hypothyroidism,Iodine hypothyroidism
1798,2448,Acquired hypothyroid NEC,Other specified acquired hypothyroidism
1799,2449,Hypothyroidism NOS,Unspecified acquired hypothyroidism
1802,2452,Chr lymphocyt thyroidit,Chronic lymphocytic thyroiditis
1806,2459,Thyroiditis NOS,"Thyroiditis, unspecified"
1812,2469,Disorder of thyroid NOS,Unspecified disorder of thyroid
1850,20270,Periph T cell lym xtrndl,"Peripheral T cell lymphoma, unspecified site, extranodal and solid organ sites"
1859,20280,Oth lymp unsp xtrndl org,"Other malignant lymphomas, unspecified site, extranodal and solid organ sites"
1862,20283,Lymphomas NEC abdom,"Other malignant lymphomas, intra-abdominal lymph nodes"
1864,20285,Lymphomas NEC inguin,"Other malignant lymphomas, lymph nodes of inguinal region and lower limb"
1867,20288,Lymphomas NEC mult,"Other malignant lymphomas, lymph nodes of multiple sites"
1877,20300,Mult mye w/o achv rmson,"Multiple myeloma, without mention of having achieved remission"
1878,20301,Mult myelm w remission,"Multiple myeloma, in remission"
1886,20400,Ac lym leuk wo achv rmsn,"Acute lymphoid leukemia, without mention of having achieved remission"
1889,20410,Ch lym leuk wo achv rmsn,"Chronic lymphoid leukemia, without mention of having achieved remission"
1901,20500,Ac myl leuk wo achv rmsn,"Acute myeloid leukemia, without mention of having achieved remission"
2079,19882,Second malig neo genital,Secondary malignant neoplasm of genital organs
2080,19889,Secondary malig neo NEC,Secondary malignant neoplasm of other specified sites
